entity,state,type,affected,date,incident,location,business_associate
Sentara Healthcare,VA,Healthcare Provider,741,2/24/23,Unauthorized Access/Disclosure,Network Server,Yes
Aloha Nursing Rehab Centre,HI,Healthcare Provider,20216,2/24/23,Hacking/IT Incident,Network Server,No
"eMDs, Inc.",TX,Business Associate,625,2/24/23,Hacking/IT Incident,Network Server,Yes
White Bird Clinic,OR,Healthcare Provider,584,2/23/23,Unauthorized Access/Disclosure,Email,No
Henrico Doctors Hospital,VA,Healthcare Provider,990,2/21/23,Unauthorized Access/Disclosure,Email,No
Sharp Healthcare,CA,Healthcare Provider,62777,2/17/23,Hacking/IT Incident,Network Server,No
West Cecil Health Center,MD,Healthcare Provider,1136,2/17/23,Unauthorized Access/Disclosure,Network Server,Yes
Jackson Lewis P.C.,CA,Business Associate,986,2/17/23,Theft,Other,Yes
Troy Roeder DDS PC,IL,Healthcare Provider,500,2/17/23,Unauthorized Access/Disclosure,Desktop Computer,No
San Juan Regional Medical Center,NM,Healthcare Provider,8500,2/15/23,Hacking/IT Incident,Network Server,Yes
Integrative Dentistry,WA,Healthcare Provider,2281,2/14/23,Hacking/IT Incident,Network Server,No
"Reventics, LLC",FL,Business Associate,250918,2/10/23,Hacking/IT Incident,Network Server,Yes
"CentraState Healthcare System, Inc.",NJ,Healthcare Provider,617901,2/10/23,Hacking/IT Incident,Network Server,No
Intelligent Business Solutions,NC,Business Associate,11595,2/10/23,Hacking/IT Incident,Network Server,Yes
Compass Behavioral Health,KS,Healthcare Provider,537,2/10/23,Hacking/IT Incident,Email,No
Highmark Inc,PA,Business Associate,36600,2/10/23,Hacking/IT Incident,Email,Yes
Evergreen Treatment Services,WA,Healthcare Provider,21325,2/10/23,Hacking/IT Incident,Network Server,No
Highmark Inc,PA,Health Plan,239039,2/10/23,Hacking/IT Incident,Email,No
Wentworth Health Partners Garrison Women's Health,NH,Healthcare Provider,4158,2/10/23,Hacking/IT Incident,Electronic Medical Record,Yes
CVS Specialty,RI,Healthcare Provider,740,2/10/23,Hacking/IT Incident,Other,No
Nelson Pharmacy Consulting Services PLC,IA,Healthcare Provider,500,2/10/23,Hacking/IT Incident,Network Server,No
"Cheyenne Radiology Group & MRI, P.C.",WY,Healthcare Provider,500,2/9/23,Hacking/IT Incident,Network Server,No
"Tattnall County, Georgia",GA,Healthcare Provider,1337,2/9/23,Hacking/IT Incident,Network Server,No
Health Benefit Plan of Bridgewater-Raritan Regional School District,NJ,Health Plan,3909,2/9/23,Hacking/IT Incident,Network Server,No
"90 Degree Benefits, Inc.",WI,Business Associate,175000,2/8/23,Hacking/IT Incident,Network Server,Yes
"NR Pennsylvania Associates, LLC",PA,Healthcare Provider,14335,2/7/23,Hacking/IT Incident,Network Server,No
"NR Connecticut, LLC",CT,Healthcare Provider,2160,2/7/23,Hacking/IT Incident,Network Server,No
Teijin Automotive Technologies Welfare Plan,MI,Health Plan,25464,2/6/23,Hacking/IT Incident,Network Server,No
"Skin MD, PLLC",TN,Healthcare Provider,7558,2/6/23,Improper Disposal,Paper/Films,No
"Vitra Health, Inc.",MA,Healthcare Provider,1618,2/6/23,Hacking/IT Incident,Email,No
"Center for Autism and Related Disorders, LLC",TX,Healthcare Provider,634,2/4/23,Unauthorized Access/Disclosure,Paper/Films,No
"Rise Interactive Media & Analytics, LLC",IL,Business Associate,54509,2/3/23,Hacking/IT Incident,Network Server,Yes
Cardiovascular Associates,AL,Healthcare Provider,441640,2/3/23,Hacking/IT Incident,Network Server,No
Southeast Colorado Hospital District,CO,Healthcare Provider,1435,2/3/23,Hacking/IT Incident,Email,No
Hospice of the Valley,AZ,Healthcare Provider,3840,2/3/23,Hacking/IT Incident,Email,No
"UT Specialty Dental Services, PLLC d/b/a Aspire Surgical",UT,Healthcare Provider,5327,2/2/23,Hacking/IT Incident,Network Server,No
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below",AZ,Healthcare Provider,10978,2/1/23,Hacking/IT Incident,Network Server,No
"Regal Medical Group,Inc.,Lakeside Medical Organization,A Medical Group,Inc.,ADOC Acquisition Co.,A Medical Group Inc.&Greater Covina Medical Group,Inc",CA,Healthcare Provider,3300638,2/1/23,Hacking/IT Incident,Network Server,No
Institute for Hormonal Balance,TX,Healthcare Provider,597,1/31/23,Theft,Other,No
Brooks Rehabilitation,FL,Healthcare Provider,1554,1/31/23,Unauthorized Access/Disclosure,Other,No
DotHouse Health Incorporated,MA,Healthcare Provider,10000,1/27/23,Hacking/IT Incident,Network Server,No
"Benefit Administrative Systems, LLC (BAS)",IL,Business Associate,6465,1/27/23,Hacking/IT Incident,Network Server,Yes
Cedar Oaks Surgery Center,MO,Healthcare Provider,794,1/27/23,Hacking/IT Incident,Email,No
Stroke Scan Inc,TX,Healthcare Provider,50000,1/27/23,Hacking/IT Incident,Desktop Computer,No
Minuteman Senior Services,MA,Healthcare Provider,500,1/27/23,Hacking/IT Incident,Email,No
Hayward Sisters Hospital d/b/a St. Rose Hospital,CA,Healthcare Provider,501,1/27/23,Hacking/IT Incident,Network Server,No
Howard Memorial Hospital,AR,Healthcare Provider,53668,1/27/23,Hacking/IT Incident,Network Server,No
"Valley Care Home Health Services, Inc.",CA,Healthcare Provider,2674,1/25/23,Theft,Other Portable Electronic Device,No
"AppleCare, LLC",GA,Healthcare Provider,512,1/23/23,Unauthorized Access/Disclosure,Paper/Films,Yes
"Peachtree Immediate Care FP, LLC",GA,Healthcare Provider,2555,1/23/23,Unauthorized Access/Disclosure,Paper/Films,Yes
City of Cleveland,OH,Health Plan,15206,1/20/23,Unauthorized Access/Disclosure,Other,No
DCH Health System,AL,Healthcare Provider,2530,1/20/23,Unauthorized Access/Disclosure,Desktop Computer,No
"Chico Immediate Care Medical Center, Inc.",CA,Healthcare Provider,3780,1/19/23,Unauthorized Access/Disclosure,Electronic Medical Record,No
One Brooklyn Health System,NY,Healthcare Provider,500,1/18/23,Hacking/IT Incident,Network Server,No
Health Plan of San Mateo,CA,Health Plan,4032,1/18/23,Hacking/IT Incident,Network Server,Yes
"mscripts®, LLC",CA,Business Associate,66372,1/17/23,Unauthorized Access/Disclosure,Network Server,Yes
University of Colorado Hospital Authority,CO,Healthcare Provider,48879,1/17/23,Hacking/IT Incident,Other,Yes
"Community Health Network, Inc.",IN,Business Associate,1237,1/13/23,Unauthorized Access/Disclosure,Other,Yes
1st Franklin Financial Corporation Master Welfare Benefit Plan,GA,Health Plan,3039,1/13/23,Hacking/IT Incident,Email,No
Intelligent Business Solutions,NC,Business Associate,500,1/13/23,Hacking/IT Incident,Network Server,Yes
Jefferson County Health Center d/b/a Jefferson County Health Department,MO,Healthcare Provider,115940,1/13/23,Hacking/IT Incident,Network Server,No
"DPP II, LLC",TX,Healthcare Provider,125981,1/12/23,Hacking/IT Incident,Network Server,No
Dr. Keith Rundle & Dr. Herman Rundle,CA,Healthcare Provider,7528,1/12/23,Hacking/IT Incident,Network Server,No
UCLA Health,CA,Healthcare Provider,94000,1/12/23,Unauthorized Access/Disclosure,Network Server,No
Minnesota Department of Human Services,MN,Health Plan,4307,1/11/23,Unauthorized Access/Disclosure,Email,No
"Community Psychiatry Management, LLC, dba Mindpath Health",NC,Healthcare Provider,193947,1/10/23,Hacking/IT Incident,Email,No
1020 South Main Street Operations LLC,PA,Healthcare Provider,702,1/10/23,Hacking/IT Incident,Network Server,Yes
225 Evergreen Road Operations LLC,PA,Healthcare Provider,931,1/10/23,Hacking/IT Incident,Network Server,No
Macoby Street Operations LLC d/b/a Pennsburg Manor,PA,Healthcare Provider,1547,1/10/23,Hacking/IT Incident,Network Server,Yes
"BayCare Clinic, LLP",WI,Healthcare Provider,134000,1/6/23,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"Vascular Institute of Houston, PLLC",TX,Healthcare Provider,1195,1/5/23,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"Vascular Institute of North Texas, PLLC",TX,Healthcare Provider,5853,1/5/23,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
Pershing Health System,MO,Healthcare Provider,5368,1/5/23,Hacking/IT Incident,Email,No
Insulet Corporation,MA,Healthcare Provider,29000,1/5/23,Unauthorized Access/Disclosure,Network Server,No
Texas Orthopaedic & Sports Medicine,TX,Healthcare Provider,1064,1/5/23,Hacking/IT Incident,Laptop,No
Lantern Hill Retirement Community,NJ,Healthcare Provider,528,1/5/23,Unauthorized Access/Disclosure,Other,No
Live Oak Surgery Center,TX,Healthcare Provider,5264,1/3/23,Hacking/IT Incident,Email,No
Barclay Damon LLP,NY,Business Associate,1039,1/3/23,Hacking/IT Incident,Email,Yes
"Circles of Care, Inc.",FL,Healthcare Provider,61170,1/3/23,Hacking/IT Incident,Network Server,No
"Bay Bridge Administrators, LLC",TX,Business Associate,187742,12/30/22,Unauthorized Access/Disclosure,Network Server,Yes
Fitzgibbon Hospital,MO,Healthcare Provider,112072,12/30/22,Unauthorized Access/Disclosure,Network Server,No
NR Florida Associates LLC,FL,Healthcare Provider,6250,12/30/22,Hacking/IT Incident,Network Server,No
The Kelberman Center,NY,Healthcare Provider,3501,12/30/22,Hacking/IT Incident,Email,No
"L. Knife & Son, Inc. Employee Benefits Plan",MA,Health Plan,4082,12/30/22,Hacking/IT Incident,Network Server,No
MJ Care,WI,Business Associate,1832,12/29/22,Hacking/IT Incident,Email,Yes
"Verisma Systems, Inc.",VA,Business Associate,1031,12/29/22,Unauthorized Access/Disclosure,Network Server,Yes
"Verisma Systems, Inc.",VA,Business Associate,1586,12/29/22,Unauthorized Access/Disclosure,Network Server,Yes
"Bosselman Energy, Inc. Employee Health Benefits Plan",NE,Health Plan,735,12/29/22,Hacking/IT Incident,Network Server,No
CellNetix Pathology & Laboratories,WA,Healthcare Provider,1969,12/28/22,Hacking/IT Incident,Email,No
Aetna ACE,CT,Health Plan,4222,12/27/22,Hacking/IT Incident,Email,No
Quality Behavioral Health,WA,Healthcare Provider,3498,12/26/22,Hacking/IT Incident,Network Server,No
"Cedar Cares, Inc. f/k/a Careportal",NY,Business Associate,1205,12/23/22,Unauthorized Access/Disclosure,Paper/Films,Yes
"Midwest Orthopaedic Consultants, S.C.",IL,Healthcare Provider,6818,12/22/22,Hacking/IT Incident,Network Server,No
Legacy Operating Company d/b/a Legacy Hospice,AL,Healthcare Provider,21202,12/22/22,Hacking/IT Incident,Email,No
"Southwest Louisiana Health Care System, Inc. d/b/a Lake Charles Memorial Health System",LA,Healthcare Provider,269752,12/22/22,Hacking/IT Incident,Network Server,No
University of Miami,FL,Healthcare Provider,973,12/22/22,Unauthorized Access/Disclosure,Email,No
"Sequoia Benefits and Insurance Services, LLC, d/b/a Sequoia Consulting Group",CA,Business Associate,4265,12/20/22,Hacking/IT Incident,Other,Yes
Bay City Health & Rehabilitation Center,TX,Healthcare Provider,2000,12/20/22,Hacking/IT Incident,Network Server,No
Louis A. Johnson Veterans' Administration Medical Center,WV,Healthcare Provider,736,12/20/22,Unauthorized Access/Disclosure,Paper/Films,No
Prairie Lakes Healthcare System,SD,Healthcare Provider,1060,12/20/22,Hacking/IT Incident,Network Server,Yes
Three Rivers Provider Network,CA,Business Associate,4596,12/19/22,Unauthorized Access/Disclosure,Email,Yes
MITCON,MI,Business Associate,1131,12/19/22,Hacking/IT Incident,Network Server,Yes
Metropolitan Area EMS Authority dba MedStar Mobile Healthcare,TX,Healthcare Provider,612000,12/19/22,Hacking/IT Incident,Network Server,No
Hawaiian Eye Center,HI,Healthcare Provider,14524,12/19/22,Hacking/IT Incident,Network Server,No
Monarch,NC,Healthcare Provider,56155,12/16/22,Hacking/IT Incident,Network Server,No
"Foundcare, Inc.",FL,Healthcare Provider,14194,12/16/22,Hacking/IT Incident,Email,No
"AAA Collections, Inc.",SD,Business Associate,4635,12/15/22,Hacking/IT Incident,Network Server,Yes
The Elizabeth Hospice,CA,Healthcare Provider,35496,12/14/22,Unauthorized Access/Disclosure,Email,No
Ola Equipment LLC,HI,Business Associate,39000,12/14/22,Theft,Paper/Films,Yes
Avem Health Partners,OK,Business Associate,271303,12/13/22,Hacking/IT Incident,Other,Yes
"Robert S Miller, LICSW, ACSW, PLLC",WA,Healthcare Provider,902,12/13/22,Hacking/IT Incident,Laptop,No
Sleep Center Hawaii,HI,Healthcare Provider,5396,12/12/22,Hacking/IT Incident,Email,No
KEMET Electronics Medical/Dental/EAP,FL,Health Plan,2927,12/9/22,Hacking/IT Incident,Network Server,No
"Teter Orthotics & Prosthetics, Inc.",TX,Healthcare Provider,1354,12/9/22,Hacking/IT Incident,Email,No
"Pediatrics West, P.C.",MA,Healthcare Provider,1364,12/9/22,Hacking/IT Incident,Network Server,No
San Gorgonio Memorial Hospital,CA,Healthcare Provider,16846,12/8/22,Hacking/IT Incident,Network Server,No
Rhode Island Department of Health,RI,Healthcare Provider,8800,12/7/22,Unauthorized Access/Disclosure,Email,Yes
Blakehurst,MD,Healthcare Provider,1047,12/6/22,Hacking/IT Incident,Email,No
Emory Healthcare,GA,Healthcare Provider,1891,12/6/22,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Employee Group Insurance Benefits Plan of Acuity Brands, Inc.",GA,Health Plan,20849,12/6/22,Hacking/IT Incident,Network Server,No
Polsinelli PC,MO,Business Associate,1220,12/2/22,Hacking/IT Incident,Other,Yes
NYC Health + Hospitals,NY,Healthcare Provider,2174,12/2/22,Loss,Other Portable Electronic Device,No
CommonSpirit Health,IL,Business Associate,623774,12/1/22,Hacking/IT Incident,Network Server,Yes
Easton Cardiovascular,PA,Business Associate,883,11/30/22,Hacking/IT Incident,Network Server,Yes
"Peter J. Isaac, D.O.",PA,Business Associate,6390,11/30/22,Hacking/IT Incident,Network Server,Yes
"Dr. Douglas C. Shoenberger,PC",PA,Business Associate,8179,11/30/22,Hacking/IT Incident,Network Server,Yes
"MaryAnne Freeman Brndjar, DO, PC",PA,Business Associate,2491,11/30/22,Hacking/IT Incident,Network Server,Yes
"Dermatology & Skin Cancer Ctr, PC",PA,Business Associate,5423,11/30/22,Hacking/IT Incident,Network Server,Yes
"Ellen M. Field, M.D.",PA,Business Associate,4438,11/30/22,Hacking/IT Incident,Network Server,Yes
Pendurthi Surgical Associates,PA,Business Associate,7925,11/30/22,Hacking/IT Incident,Network Server,Yes
"NU House Calls, PC",PA,Business Associate,552,11/30/22,Hacking/IT Incident,Network Server,Yes
Lehigh Valley Women's Specialties,PA,Business Associate,4535,11/30/22,Hacking/IT Incident,Network Server,Yes
Klamath County,OR,Healthcare Provider,547,11/29/22,Unauthorized Access/Disclosure,Email,No
Keck Medicine of USC,CA,Healthcare Provider,2200,11/29/22,Hacking/IT Incident,Email,No
Legacy Health,OR,Healthcare Provider,8065,11/23/22,Theft,Other Portable Electronic Device,No
Dallam Hartley Counties Hospital District,TX,Healthcare Provider,69835,11/23/22,Hacking/IT Incident,Network Server,No
Compton & Broomhead Dental Center,IN,Healthcare Provider,1307,11/23/22,Hacking/IT Incident,Email,No
Mena Regional Health System,AR,Healthcare Provider,84814,11/22/22,Hacking/IT Incident,Network Server,No
Hope Health Systems Inc.,MD,Healthcare Provider,9972,11/21/22,Hacking/IT Incident,Electronic Medical Record,No
Orlando Health,FL,Healthcare Provider,3662,11/18/22,Hacking/IT Incident,Email,No
Wright & Filippis LLC,MI,Healthcare Provider,877584,11/18/22,Hacking/IT Incident,Network Server,No
"Nuance Communications, Inc.",MA,Business Associate,4830,11/18/22,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"Community Health Network, Inc. as an Affiliated Covered Entity",IN,Healthcare Provider,1500000,11/18/22,Unauthorized Access/Disclosure,Network Server,No
CareFirst Administrators,MD,Health Plan,14538,11/18/22,Hacking/IT Incident,Email,Yes
Gateway Rehabilitation Center,PA,Healthcare Provider,130000,11/18/22,Hacking/IT Incident,Network Server,No
University Medical Center of Southern Nevada,NV,Healthcare Provider,1861,11/17/22,Unauthorized Access/Disclosure,Electronic Medical Record,No
"CONSUMER DIRECTED SERVICES IN TEXAS, INC.",TX,Healthcare Provider,56728,11/17/22,Hacking/IT Incident,Network Server,Yes
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",CA,Health Plan,8556,11/17/22,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Innovative Service Technology Management Services, Inc.",GA,Health Plan,2654,11/17/22,Hacking/IT Incident,Network Server,No
"Rosenfeld VanWirt, PC",PA,Business Associate,18719,11/16/22,Hacking/IT Incident,Network Server,Yes
South Walton Fire District,FL,Healthcare Provider,25331,11/15/22,Hacking/IT Incident,Network Server,No
Arkansas Department of Human Services,AR,Health Plan,925,11/15/22,Unauthorized Access/Disclosure,Email,No
Docs Medical Inc,CT,Healthcare Provider,3146,11/15/22,Hacking/IT Incident,Network Server,No
"CCA Health Plans of California, Inc d/b/a CCA Health CA",CA,Health Plan,14631,11/15/22,Hacking/IT Incident,Network Server,No
Yakima Neighborhood Health Services,WA,Healthcare Provider,2689,11/14/22,Unauthorized Access/Disclosure,Email,No
Epic Management LLC,TN,Healthcare Provider,10862,11/14/22,Hacking/IT Incident,Email,No
"Health Care Management Solutions, LLC",WV,Business Associate,500000,11/14/22,Hacking/IT Incident,Network Server,Yes
"Dialpad, Inc.",CA,Business Associate,1682,11/14/22,Unauthorized Access/Disclosure,Network Server,Yes
Yale University,CT,Healthcare Provider,9051,11/11/22,Hacking/IT Incident,Network Server,No
NewYork-Presbyterian Hospital,NY,Healthcare Provider,12000,11/11/22,Hacking/IT Incident,Laptop,No
"Stanley Street Treatment and Resources, Inc.",MA,Healthcare Provider,45785,11/11/22,Hacking/IT Incident,Network Server,No
"Connexin Software, Inc.",PA,Business Associate,2216365,11/11/22,Hacking/IT Incident,Network Server,Yes
Manassas Surgery Center Anesthesia Services,NY,Healthcare Provider,726,11/10/22,Hacking/IT Incident,Network Server,No
Work Health Solutions,CA,Healthcare Provider,13157,11/9/22,Hacking/IT Incident,Email,No
Doctors' Center Hospital,NA,Healthcare Provider,1195220,11/9/22,Hacking/IT Incident,Network Server,No
GATE Petroleum Company Employee Benefits Plan,FL,Health Plan,4912,11/9/22,Hacking/IT Incident,Network Server,No
Heartland Alliance,IL,Business Associate,46694,11/8/22,Hacking/IT Incident,Network Server,Yes
"Eastside Pediatrics, PLLC",NY,Healthcare Provider,1723,11/8/22,Hacking/IT Incident,Network Server,No
CorrHealth Inc.,TX,Business Associate,1245,11/7/22,Unauthorized Access/Disclosure,Network Server,Yes
