Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Missouri Department of Social Services,MO,Health Plan,739884,08/07/2023,Hacking/IT Incident,Network Server,Yes
Redwood Coast Regional Center,CA,Healthcare Provider,1345,08/07/2023,Hacking/IT Incident,Email,No
Cranberry Township Emergency Medical Service,PA,Healthcare Provider,1247,08/07/2023,Hacking/IT Incident,Network Server,Yes
"Gary Motykie, M.D., a Medical Corporation",CA,Healthcare Provider,3400,08/05/2023,Hacking/IT Incident,"Desktop Computer, Network Server",No
Radius Global Solutions,MN,Business Associate,600794,08/04/2023,Hacking/IT Incident,Network Server,Yes
"Maximus, Inc.",VA,Business Associate,2781617,08/04/2023,Hacking/IT Incident,Network Server,Yes
Indiana University Health,IN,Health Plan,21383,08/04/2023,Hacking/IT Incident,Network Server,Yes
Capital Neurological Surgeons,CA,Healthcare Provider,1769,08/04/2023,Hacking/IT Incident,Email,No
Unum Group SACE,TN,Health Plan,531732,08/03/2023,Hacking/IT Incident,Network Server,No
Self-insured group health plans sponsored by the City of Dallas,TX,Health Plan,30253,08/03/2023,Hacking/IT Incident,Network Server,No
Cognizant Technologies Solutions U.S. Corporation,TX,Business Associate,7313,08/03/2023,Hacking/IT Incident,Network Server,Yes
"Advanced Care Partners, LLC",GA,Healthcare Provider,518,08/03/2023,Unauthorized Access/Disclosure,Email,No
Plumbers Local 8 Health & Welfare Fund,MO,Health Plan,4790,08/02/2023,Hacking/IT Incident,Email,No
"Grane Supply, Inc.",PA,Healthcare Provider,798,08/01/2023,Unauthorized Access/Disclosure,Email,No
HCA Healthcare,TN,Business Associate,11270000,07/31/2023,Hacking/IT Incident,Other,Yes
Johns Hopkins Health System Corporation,MD,Business Associate,2584,07/31/2023,Hacking/IT Incident,Network Server,Yes
Howard County General Hospital,MD,Healthcare Provider,2975,07/31/2023,Hacking/IT Incident,Network Server,Yes
Synergy Healthcare Services,GA,Business Associate,25772,07/31/2023,Hacking/IT Incident,Network Server,Yes
UC Davis Health,CA,Healthcare Provider,3201,07/28/2023,Hacking/IT Incident,Email,No
"Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")",MN,Business Associate,1027,07/28/2023,Hacking/IT Incident,Network Server,Yes
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,398319,07/28/2023,Hacking/IT Incident,Network Server,No
Jefferson County Health Center,IA,Healthcare Provider,53827,07/28/2023,Hacking/IT Incident,Network Server,No
The Chattanooga Heart Institute,TN,Healthcare Provider,170450,07/28/2023,Hacking/IT Incident,Network Server,No
Allegheny County,PA,Healthcare Provider,689686,07/28/2023,Hacking/IT Incident,Network Server,No
"Florida Health Sciences Center, Inc. dba Tampa General Hospital",FL,Healthcare Provider,2430920,07/28/2023,Hacking/IT Incident,Network Server,No
Centers for Medicare & Medicaid Services,MD,Health Plan,2342357,07/28/2023,Hacking/IT Incident,Network Server,Yes
CareSource,OH,Business Associate,3180537,07/27/2023,Unauthorized Access/Disclosure,Network Server,No
Saint Francis Health System,OK,Healthcare Provider,18911,07/26/2023,Hacking/IT Incident,Network Server,No
"Hillsborough County, Florida (County Government)",FL,Healthcare Provider,70636,07/26/2023,Hacking/IT Incident,Other,No
"Life Management Center of Northwest Florida, Inc.",FL,Healthcare Provider,19107,07/25/2023,Hacking/IT Incident,Network Server,No
"Family Vision of Anderson, P.A.",SC,Healthcare Provider,62631,07/25/2023,Hacking/IT Incident,Network Server,No
Bi-Bett Corporation,CA,Business Associate,4722,07/25/2023,Hacking/IT Incident,Email,Yes
Johns Hopkins Medicine,MD,Healthcare Provider,310405,07/25/2023,Hacking/IT Incident,Network Server,No
UT Southwestern Medical Center,TX,Healthcare Provider,98437,07/24/2023,Hacking/IT Incident,Network Server,No
Sutter Senior Care,CA,Healthcare Provider,519,07/22/2023,Hacking/IT Incident,Network Server,Yes
Paramedic Billing Services,IL,Healthcare Clearing House,501,07/21/2023,Hacking/IT Incident,Network Server,No
Harris County Hospital District d/b/a Harris Health System,TX,Healthcare Provider,455676,07/21/2023,Hacking/IT Incident,Network Server,No
"Batesville Tool & Die, Inc.",IN,Health Plan,574,07/21/2023,Hacking/IT Incident,Network Server,No
Pennsylvania Department of Human Services,PA,Healthcare Provider,16390,07/21/2023,Unauthorized Access/Disclosure,Other,No
"New England Life Care, Inc.",ME,Healthcare Provider,51854,07/21/2023,Hacking/IT Incident,Network Server,No
"Mindful Innovations, PLLC",NC,Healthcare Provider,1900,07/20/2023,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop",No
"Associated Pathologists, LLC dba PathGroup Health Plan",TN,Health Plan,2031,07/18/2023,Hacking/IT Incident,Network Server,Yes
ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED,OH,Healthcare Provider,750,07/18/2023,Hacking/IT Incident,Network Server,No
"IVF Michigan, P.C.",MI,Healthcare Provider,9383,07/18/2023,Hacking/IT Incident,Network Server,No
Fairfax Oral and Maxillofacial Surgery,VA,Healthcare Provider,208194,07/14/2023,Hacking/IT Incident,Network Server,No
"Pension Benefit Information, LLC",MN,Business Associate,1866694,07/14/2023,Hacking/IT Incident,Network Server,Yes
"The Pavillion at Health Park, LLC dba Park Royal Hospital",FL,Healthcare Provider,500,07/14/2023,Hacking/IT Incident,Email,No
"Care N' Care Insurance Company, Inc.",TX,Health Plan,33032,07/14/2023,Hacking/IT Incident,Network Server,Yes
Wake Family Eye Care,NC,Healthcare Provider,14264,07/14/2023,Hacking/IT Incident,Network Server,No
East Houston Med And Ped Clinic,TX,Healthcare Provider,10000,07/13/2023,Unauthorized Access/Disclosure,Paper/Films,No
Konen & Associates dba Unified Pain Management,TX,Healthcare Provider,500,07/12/2023,Hacking/IT Incident,Email,No
Charles George Department of Veterans Affairs Medical Center,NC,Healthcare Provider,1541,07/11/2023,Unauthorized Access/Disclosure,Email,No
"The Vitality Group, LLC",IL,Business Associate,17971,07/11/2023,Hacking/IT Incident,Network Server,Yes
Arizona State Urological Institute,AZ,Healthcare Provider,1626,07/10/2023,Unauthorized Access/Disclosure,Email,No
Catholic Charities of the Archdiocese of Newark,NJ,Healthcare Provider,501,07/07/2023,Hacking/IT Incident,Network Server,No
Precision Anesthesia Billing LLC,FL,Business Associate,209200,07/07/2023,Hacking/IT Incident,Network Server,Yes
"Miracle-Ear Flagship, LLC",MN,Healthcare Provider,3560,07/07/2023,Hacking/IT Incident,Email,No
"Parsley Health, Inc.",NY,Business Associate,1004,07/07/2023,Unauthorized Access/Disclosure,Network Server,Yes
Norton Healthcare Inc.,KY,Healthcare Provider,501,07/07/2023,Hacking/IT Incident,Network Server,No
Public Health Management Corporation,PA,Healthcare Provider,501,07/06/2023,Hacking/IT Incident,Network Server,No
"edgeMED Healthcare, LLC",FL,Business Associate,6700,07/06/2023,Hacking/IT Incident,Network Server,Yes
"Phoenician Medical Center, Inc",AZ,Healthcare Provider,162500,07/05/2023,Hacking/IT Incident,Network Server,No
Mountain View Hospital,ID,Healthcare Provider,1043,07/03/2023,Hacking/IT Incident,Network Server,No
AHCCCS,AZ,Health Plan,2632,06/30/2023,Unauthorized Access/Disclosure,Network Server,No
Imagine360,PA,Business Associate,132807,06/30/2023,Unauthorized Access/Disclosure,Network Server,Yes
"Orrick, Herrington & Sutcliffe LLP",CA,Business Associate,40823,06/30/2023,Hacking/IT Incident,Network Server,Yes
ARx Patient Solutions,KS,Healthcare Provider,41166,06/30/2023,Unauthorized Access/Disclosure,Email,No
"Mount Desert Island Hospital, Inc.",ME,Healthcare Provider,24180,06/30/2023,Hacking/IT Incident,Network Server,No
"South Suburban Surgical Suites, LLC",IN,Healthcare Provider,5340,06/30/2023,Hacking/IT Incident,Email,No
"Advanced Medical Management, LLC",MD,Business Associate,319485,06/29/2023,Hacking/IT Incident,Network Server,Yes
Partnership Health Center,MT,Healthcare Provider,8331,06/29/2023,Unauthorized Access/Disclosure,Email,No
Henrietta Johnson Medical Center,DE,Healthcare Provider,500,06/27/2023,Hacking/IT Incident,Network Server,Yes
Itasca County Health & Human Services,MN,Healthcare Provider,1413,06/27/2023,Hacking/IT Incident,Email,No
Activate Healthcare LLC,IL,Healthcare Provider,93761,06/23/2023,Hacking/IT Incident,Network Server,No
"Senior Choice, Inc. d/b/a The Atrium(216 Main St, Johnstown, PA) Beacon Ridge(1515 Wayne Ave, Indiana, PA) & The Patriot(495 W Patriot St, Somerset PA",PA,Healthcare Provider,500,06/23/2023,Hacking/IT Incident,Network Server,No
The Williamsport Home,PA,Healthcare Provider,500,06/23/2023,Hacking/IT Incident,Network Server,No
Desert Physicians Management,CA,Business Associate,56556,06/22/2023,Hacking/IT Incident,Network Server,Yes
"GlobalHealth Holdings, LLC",OK,Health Plan,622,06/22/2023,Hacking/IT Incident,Network Server,Yes
"Vitra Home Care, LLC",MA,Business Associate,658,06/22/2023,Hacking/IT Incident,Email,Yes
Limbach Facility Services LLC Group Benefit Plan,PA,Health Plan,1392,06/22/2023,Hacking/IT Incident,Network Server,No
"DMS Health Technologies, Inc.",ND,Healthcare Provider,48336,06/21/2023,Hacking/IT Incident,Network Server,No
Murfreesboro Medical Clinic & SurgiCenter,TN,Healthcare Provider,559000,06/21/2023,Hacking/IT Incident,Network Server,No
Community Research Foundation,CA,Healthcare Provider,30236,06/20/2023,Hacking/IT Incident,Network Server,No
Quatela Center for Plastic Surgery,NY,Healthcare Provider,1085,06/20/2023,Unauthorized Access/Disclosure,Email,No
"Kannact, Inc.",OR,Business Associate,103547,06/20/2023,Hacking/IT Incident,Network Server,Yes
VINCERA IMAGING LLC,PA,Healthcare Provider,5000,06/20/2023,Hacking/IT Incident,Network Server,No
VINCERA REHAB LLC,PA,Healthcare Provider,5000,06/20/2023,Hacking/IT Incident,Network Server,No
VINCERA SURGERY CENTER,PA,Healthcare Provider,5000,06/20/2023,Hacking/IT Incident,Network Server,No
"CORE PERFORMANCE PHYSICIANS, DBA VINCERA CORE PHYSICIANS",PA,NA,10000,06/20/2023,Hacking/IT Incident,Network Server,No
"Peachtree Orthopaedic Clinic, P.A.",GA,Healthcare Provider,34691,06/19/2023,Hacking/IT Incident,Network Server,No
Atrium Health Wake Forest Baptist,NC,Healthcare Provider,3679,06/16/2023,Hacking/IT Incident,Email,No
"New Horizons Medical, Inc",MA,Healthcare Provider,12317,06/16/2023,Hacking/IT Incident,Network Server,No
Parker Drilling Company Group Health and Flexible Benefit Plan,TX,Health Plan,5973,06/15/2023,Hacking/IT Incident,Network Server,No
Great Valley Cardiology,PA,Healthcare Provider,181764,06/12/2023,Hacking/IT Incident,Network Server,No
Idaho Department of Health & Welfare,ID,Health Plan,2501,06/12/2023,Unauthorized Access/Disclosure,Network Server,Yes
"Atlanta Women's Health Group, P.C.",GA,Healthcare Provider,33839,06/11/2023,Hacking/IT Incident,Network Server,No
"HC3, Inc",AL,Business Associate,1105,06/11/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Valley Obstetrics & Gynecology PC,UT,Healthcare Provider,500,06/09/2023,Hacking/IT Incident,Network Server,No
Uponor North America,MN,Health Plan,1048,06/08/2023,Hacking/IT Incident,Network Server,No
"Intellihartx, LLC",TN,Business Associate,489830,06/08/2023,Hacking/IT Incident,Network Server,Yes
"Marshall & Melhorn, LLC",OH,Business Associate,9412,06/07/2023,Hacking/IT Incident,Network Server,Yes
"Utah Medicaid, Division of Integrated Healthcare: Utah Department of Health and Human Services",UT,Health Plan,5800,06/06/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Ascension Providence,TX,Healthcare Provider,1415,06/06/2023,Hacking/IT Incident,Network Server,Yes
Ascension Seton,TX,Healthcare Provider,17191,06/06/2023,Hacking/IT Incident,Network Server,Yes
Southeast Nursing and Rehab Center,TX,Healthcare Provider,2721,06/06/2023,Improper Disposal,"Other, Paper/Films",No
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,2470000,06/05/2023,Hacking/IT Incident,Network Server,No
"South Jersey Behavorial Health Resources, Inc.",NJ,Healthcare Provider,501,06/04/2023,Hacking/IT Incident,Network Server,No
"John N. Evans, DPM",MI,Healthcare Provider,15512,06/03/2023,Hacking/IT Incident,Network Server,No
Unified Operations Virginia LP,FL,Business Associate,501,06/02/2023,Hacking/IT Incident,Network Server,Yes
"Mississippi Children’s Home Society, CARES Center, Inc., Mississippi Children’s Home Services, Inc., d.b.a. Canopy Children’s Solutions",MS,Healthcare Provider,501,06/02/2023,Hacking/IT Incident,Network Server,No
"CareNet Medical Group, PC",NY,Healthcare Provider,10059,06/02/2023,Hacking/IT Incident,Network Server,No
Classic Residence Management Limited Partnership,IL,Healthcare Provider,12405,06/02/2023,Hacking/IT Incident,Network Server,No
"T. Rowe Price Group, Inc.",MD,Health Plan,684,06/02/2023,Hacking/IT Incident,Network Server,Yes
Elgon Information Systems,MA,Business Associate,31248,06/02/2023,Hacking/IT Incident,Network Server,Yes
EpiSource,MN,Business Associate,1206,06/02/2023,Hacking/IT Incident,Network Server,Yes
"Mercy Medical Center - Clinton, Inc.",IA,Healthcare Provider,20865,06/02/2023,Hacking/IT Incident,Network Server,No
Petaluma Health Center,CA,Healthcare Provider,124862,06/02/2023,Hacking/IT Incident,Network Server,No
Maimonides Medical Center,NY,Healthcare Provider,33000,06/01/2023,Hacking/IT Incident,Network Server,No
Pain Relief Centers PA,NC,Healthcare Provider,7000,06/01/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No
"iSpace, Inc.",CA,Business Associate,24382,05/31/2023,Hacking/IT Incident,Network Server,Yes
Advanced Healthcare Solutions,TX,Health Plan,2721,05/31/2023,Hacking/IT Incident,Network Server,No
Builders FirstSource Flex Plan,TX,Health Plan,3690,05/30/2023,Hacking/IT Incident,Network Server,No
Onix Group,PA,Business Associate,319500,05/26/2023,Hacking/IT Incident,Network Server,Yes
North Shore Medical Labs,NY,Healthcare Provider,500,05/26/2023,Hacking/IT Incident,Network Server,No
Sparta Community Hospital District,IL,Healthcare Provider,900,05/26/2023,Hacking/IT Incident,Email,No
Managed Care of North America (MCNA),GA,Business Associate,8861076,05/26/2023,Hacking/IT Incident,Network Server,Yes
"South Jersey Behavioral Health Resources, Inc.",NJ,Healthcare Provider,2193,05/26/2023,Hacking/IT Incident,Email,No
Valley Orthopaedic Specialists,CT,Healthcare Provider,5062,05/26/2023,Hacking/IT Incident,Network Server,No
Lancaster Orthopedic Group,PA,Healthcare Provider,1784,05/26/2023,Hacking/IT Incident,Network Server,No
"Albany ENT & Allergy Services, PC.",NY,Healthcare Provider,224486,05/25/2023,Hacking/IT Incident,Network Server,No
Alaska Railroad Corporation Welfare Benefits Plan,AK,Health Plan,3549,05/25/2023,Hacking/IT Incident,Network Server,No
Asian Health Services,CA,Healthcare Provider,6270,05/25/2023,Hacking/IT Incident,Email,No
"Goodwill Industries of Greater New York and Northern NJ, Inc.",NY,Healthcare Provider,805,05/24/2023,Hacking/IT Incident,Email,No
"Vascular Center of Intervention, Inc.",CA,Healthcare Provider,3833,05/24/2023,Hacking/IT Incident,Network Server,No
Harvard Pilgrim Health Care,MA,Health Plan,2624191,05/24/2023,Hacking/IT Incident,Network Server,No
"MedInform, Inc.",OH,Business Associate,14453,05/24/2023,Hacking/IT Incident,Network Server,Yes
"UI Community Home Care, a subsidiary of University of Iowa Health System",IA,Healthcare Provider,67897,05/24/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
Culbertson Memorial Hospital,IL,Healthcare Provider,69765,05/24/2023,Hacking/IT Incident,Network Server,No
Grant Regional Health Center,WI,Healthcare Provider,4135,05/23/2023,Hacking/IT Incident,Email,No
"Topcon Healthcare Solutions, Inc.",NJ,Business Associate,4209,05/22/2023,Hacking/IT Incident,Network Server,Yes
PillPack LLC,NH,Healthcare Provider,19032,05/19/2023,Hacking/IT Incident,Network Server,No
"PartsSource, Inc. Welfare Benefit Plan",OH,Health Plan,1474,05/19/2023,Hacking/IT Incident,Network Server,No
Tennessee Orthopaedic Clinics,TN,Healthcare Provider,500,05/19/2023,Hacking/IT Incident,Network Server,No
"Hiawatha Harris MD, Inc. dba Pathways to Wellness Medication Clinics",CA,Healthcare Provider,9182,05/18/2023,Hacking/IT Incident,Network Server,No
University of Missouri Health Care,MO,Healthcare Provider,736,05/17/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No
Clarke County Hospital,IA,Healthcare Provider,28003,05/17/2023,Hacking/IT Incident,Network Server,No
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Service",NJ,Health Plan,552,05/16/2023,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No
Buckeye Health Plan,OH,Health Plan,686,05/16/2023,Unauthorized Access/Disclosure,Email,No
"Essen Medical Associates, P.C.",NY,Healthcare Provider,500,05/16/2023,Hacking/IT Incident,Network Server,No
Lehigh Valley Health Network (blackcat),PA,Healthcare Provider,248359,05/15/2023,Hacking/IT Incident,Network Server,No
R&B Corporation of Virginia d/b/a Credit Control Corporation,VA,Business Associate,345523,05/13/2023,Hacking/IT Incident,Network Server,Yes
PharMerica Corporation,KY,Healthcare Provider,5815591,05/12/2023,Hacking/IT Incident,Network Server,No
Great Expressions Dental Centers,MI,Healthcare Provider,528,05/12/2023,Hacking/IT Incident,Network Server,No
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services",IL,Health Plan,50839,05/12/2023,Hacking/IT Incident,Network Server,No
Catholic Health System,NY,Healthcare Provider,12759,05/11/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"IMA Financial Group, Inc.",KS,Business Associate,5242,05/10/2023,Hacking/IT Incident,Network Server,Yes
Uintah Basin Healthcare,UT,Healthcare Provider,103974,05/10/2023,Hacking/IT Incident,Network Server,No
"Smile Doctors of Arizona, P.C. d/b/a Grinz Orthodontics (""Grinz Orthodontics"")",AZ,Healthcare Provider,1034,05/09/2023,Theft,Desktop Computer,No
"ASAS Health, LLC",TX,Healthcare Provider,25527,05/06/2023,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,1971,05/05/2023,Unauthorized Access/Disclosure,Network Server,No
