Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Wellstar Health System,GA,Healthcare Provider,728,09/21/2023,Hacking/IT Incident,Network Server,Yes
Lakeview Clinic,MN,Healthcare Provider,624,09/21/2023,Unauthorized Access/Disclosure,Email,No
"Arkansas Total Care, Inc.",AR,Health Plan,578,09/21/2023,Hacking/IT Incident,Network Server,Yes
Elevate Patient Financial Solutions,TX,Business Associate,5364,09/20/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Virginia Dept. of Medical Assistance Services,VA,Health Plan,1229333,09/18/2023,Hacking/IT Incident,Network Server,Yes
"Erlanger Health, Inc.",TN,Healthcare Provider,2753,09/18/2023,Hacking/IT Incident,Other,Yes
Oak Valley Hospital District,CA,Healthcare Provider,283629,09/15/2023,Hacking/IT Incident,Network Server,No
"Temple University Health System,Inc.",PA,Healthcare Provider,430381,09/15/2023,Hacking/IT Incident,Network Server,Yes
Omnicell Specialty Pharmacy Services (OSPS),TX,Business Associate,661,09/15/2023,Hacking/IT Incident,Email,Yes
"Founder Project Rx, Inc.",TX,Healthcare Provider,30836,09/15/2023,Hacking/IT Incident,Email,No
Peach State Health Plan,GA,Health Plan,1246,09/15/2023,Hacking/IT Incident,Network Server,Yes
Advocates for a Healthy Community Inc dba Jordan Valley Community Health Center,MO,Healthcare Provider,2502,09/15/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No
VA Dept. of Medical Assistance Services,VA,Health Plan,928,09/14/2023,Hacking/IT Incident,Network Server,Yes
Pharm-Pacc Corporation,FL,Business Associate,3749,09/12/2023,Hacking/IT Incident,Network Server,Yes
Sutter North Surgery Center,CA,Healthcare Provider,861,09/08/2023,Hacking/IT Incident,Network Server,Yes
Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,1431,09/08/2023,Unauthorized Access/Disclosure,Other,No
Ryders Health Management LLC,CT,Healthcare Provider,7252,09/07/2023,Hacking/IT Incident,Network Server,No
Coos Health & Wellness,OR,Healthcare Provider,21971,09/07/2023,Hacking/IT Incident,Network Server,No
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,315915,09/07/2023,Unauthorized Access/Disclosure,"Network Server, Other",No
Amerita,KS,Healthcare Provider,219707,09/05/2023,Hacking/IT Incident,Network Server,No
Delta Dental of California,CA,Health Plan,501,09/05/2023,Hacking/IT Incident,Network Server,No
Bienville Orthopaedic Specialists LLC,MS,Healthcare Provider,242986,09/05/2023,Hacking/IT Incident,Network Server,No
"Georgia Hand, Shoulder & Elbow, PC",GA,Healthcare Provider,20498,09/01/2023,Hacking/IT Incident,Email,No
Bloom Health Centers,MD,Healthcare Provider,1545,09/01/2023,Unauthorized Access/Disclosure,Email,No
"North Mississippi Medical Center, Inc.",MS,Healthcare Provider,950,09/01/2023,Hacking/IT Incident,Email,No
"MedMinder Systems, Inc.",MA,Healthcare Provider,12146,09/01/2023,Hacking/IT Incident,Network Server,No
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,1700,08/31/2023,Hacking/IT Incident,Network Server,No
"Mountain View Family Practice, PC",MA,Healthcare Provider,5139,08/31/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
Indiana University Health,IN,Health Plan,1191,08/31/2023,Hacking/IT Incident,Network Server,Yes
TTEC Healthcare Solutions,CO,Business Associate,2953,08/30/2023,Unauthorized Access/Disclosure,Other,Yes
"PurFoods, LLC",IA,Healthcare Provider,1229333,08/25/2023,Hacking/IT Incident,Network Server,No
Associates in Pediatric Dentistry,LA,Healthcare Provider,9703,08/25/2023,Hacking/IT Incident,Email,No
