"","entity","state","type","affected","date","incident","location","business_associate"
"208","Pause Pain & Wellness","MS","Healthcare Provider",777,"10/27/2023","Unauthorized Access/Disclosure","Email","Yes"
"209","Hospital Sisters Health System","IL","Business Associate",500,"10/26/2023","Hacking/IT Incident","Network Server","Yes"
"210","Greater Rochester Independent Practice Association, Inc.","NY","Healthcare Provider",279156,"10/26/2023","Hacking/IT Incident","Network Server","No"
"211","Western Washington Medical Group","MS","Healthcare Provider",350863,"10/26/2023","Hacking/IT Incident","Network Server","No"
"212","Fredericksburg Foot & Ankle Center, PLC","VA","Healthcare Provider",14912,"10/25/2023","Hacking/IT Incident","Network Server","No"
"213","Edward C. Taylor, PhD., PL","FL","Healthcare Provider",6684,"10/25/2023","Hacking/IT Incident","Desktop Computer","No"
"214","LCS Financial Services","CO","Business Associate",768,"10/24/2023","Hacking/IT Incident","Network Server","Yes"
"215","eleHealth","LA","Business Associate",2187,"10/24/2023","Unauthorized Access/Disclosure","Paper/Films","Yes"
"216","University of Michigan, on behalf of certain HIPAA-covered functions of the University that operate as a HIPAA hybrid entity","MI","Healthcare Provider",61033,"10/23/2023","Hacking/IT Incident","Network Server","No"
"217","Dakota Eye Institute","ND","Healthcare Provider",107143,"10/23/2023","Hacking/IT Incident","Network Server","No"
"218","La Red Health Center","DE","Healthcare Provider",501,"10/20/2023","Hacking/IT Incident","Network Server","No"
"219","McLaren Health Care","MI","Healthcare Provider",501,"10/20/2023","Hacking/IT Incident","Network Server","No"
"220","City of Philadelphia","PA","Health Plan",501,"10/20/2023","Hacking/IT Incident","Email","No"
"221","Radius Global Solutions","PA","Business Associate",135742,"10/19/2023","Hacking/IT Incident","Network Server","Yes"
"222","Counseling and Recovery Services of Oklahoma","OK","Healthcare Provider",3365,"10/19/2023","Hacking/IT Incident","Desktop Computer","No"
"223","Hospital & Medical Foundation of Paris, Inc","IL","Healthcare Provider",16598,"10/19/2023","Hacking/IT Incident","Network Server","Yes"
"224","Napa Integrated Medicine PC","CA","Business Associate",600,"10/19/2023","Theft","Desktop Computer","Yes"
"225","Oscar Insurance Company of Florida","NY","Health Plan",1045,"10/19/2023","Hacking/IT Incident","Network Server","No"
"226","Singing River Health System and its wholly owned subsidiary, Singing River Gulfport","MS","Healthcare Provider",501,"10/18/2023","Hacking/IT Incident","Network Server","No"
